xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0.24164,0.01807,0.14128,0.08253,0.02071,0.00926,0.02692,0.00367,0.00881,0.00662,0.00214,0.00014,0.91977,0.00195,8,0
0.56474,0.26325,0.49880,0.89810,0.00072,0.00329,0.00284,0.00858,0.00349,0.00149,0.96743,0.00052,0.00118,0.01047,6,9
0.54460,0.48100,0.95789,0.11314,0.00157,0.00005,0.00158,0.98015,0.00173,0.00869,0.00285,0.00126,0.00076,0.00138,3,2
0.58972,0.48119,0.98652,0.09835,0.00192,0.00003,0.00125,0.98622,0.00125,0.00459,0.00211,0.00091,0.00059,0.00113,3,3
0.40874,0.36925,0.58901,0.26420,0.02675,0.00185,0.80683,0.10942,0.00930,0.00998,0.02604,0.00616,0.00350,0.00016,2,2
0.54081,0.30116,0.66409,0.75988,0.00127,0.00170,0.00972,0.07005,0.00591,0.00501,0.89809,0.00089,0.00162,0.00572,6,6
0.24641,0.32236,0.29218,0.27877,0.00366,0.00133,0.98590,0.00122,0.00167,0.00177,0.00250,0.00121,0.00073,0.00000,2,8
0.24386,0.32421,0.28506,0.28217,0.00375,0.00138,0.98504,0.00126,0.00190,0.00189,0.00266,0.00139,0.00073,0.00000,2,2
0.00139,0.37543,0.00000,0.23604,0.00050,0.00001,0.00168,0.00132,0.98854,0.00162,0.00123,0.00247,0.00169,0.00095,4,7
0.54316,0.48519,0.95358,0.09420,0.00161,0.00004,0.00146,0.98039,0.00173,0.00885,0.00247,0.00111,0.00092,0.00142,3,2
0.53671,0.38068,0.76666,0.36148,0.00953,0.00120,0.00358,0.83479,0.01025,0.01482,0.07040,0.00587,0.00522,0.04433,3,1
0.98858,0.55532,0.22333,0.42289,0.00288,0.00306,0.00000,0.00120,0.00075,0.00016,0.00146,0.00181,0.00159,0.98708,9,9
0.22664,0.33140,0.25768,0.27517,0.00802,0.00142,0.96843,0.00257,0.00775,0.00262,0.00499,0.00214,0.00206,0.00002,2,4
0.51301,0.41972,0.73449,0.20433,0.00336,0.00010,0.00599,0.88597,0.04781,0.02456,0.01816,0.00407,0.00421,0.00576,3,4
0.21782,0.32594,0.23890,0.21314,0.01572,0.00571,0.92815,0.00464,0.00887,0.00755,0.00652,0.00139,0.02140,0.00006,2,8
0.59008,0.48497,0.99226,0.10223,0.00168,0.00003,0.00099,0.98689,0.00120,0.00451,0.00203,0.00088,0.00055,0.00126,3,5
0.07422,0.36519,0.15988,0.53887,0.00159,0.00026,0.01208,0.00900,0.85492,0.00621,0.10024,0.00376,0.00613,0.00581,4,5
0.45023,0.98134,0.08421,0.52669,0.00144,0.97038,0.00247,0.00011,0.00005,0.00395,0.00590,0.00197,0.00474,0.00898,1,1
0.58843,0.44961,0.93234,0.11961,0.00368,0.00006,0.00315,0.97704,0.00227,0.00613,0.00380,0.00141,0.00109,0.00137,3,3
0.01048,0.38360,0.00231,0.24144,0.00049,0.00001,0.00180,0.00133,0.98832,0.00168,0.00134,0.00214,0.00196,0.00092,4,4
0.23334,0.02195,0.16431,0.11587,0.04068,0.01487,0.15947,0.01096,0.03385,0.01970,0.00754,0.00082,0.71001,0.00210,8,0
0.04234,0.35634,0.06964,0.24639,0.00110,0.00005,0.00901,0.00374,0.96838,0.00511,0.00353,0.00474,0.00339,0.00095,4,4
0.13184,0.02587,0.23344,0.05162,0.95295,0.00172,0.00578,0.00642,0.00463,0.00006,0.00048,0.00429,0.01262,0.01106,0,8
0.50143,0.38512,0.88502,0.32700,0.00469,0.00025,0.01198,0.91947,0.00507,0.00990,0.04254,0.00199,0.00178,0.00234,3,6
0.56252,0.46919,0.94740,0.11013,0.00186,0.00003,0.00129,0.98206,0.00218,0.00630,0.00268,0.00120,0.00076,0.00164,3,7
0.47154,0.40567,0.80650,0.13390,0.00522,0.00054,0.04853,0.86646,0.00678,0.05091,0.01075,0.00739,0.00255,0.00088,3,3
0.53160,0.31267,0.65838,0.67673,0.00384,0.00210,0.02498,0.13616,0.01221,0.00723,0.80208,0.00182,0.00314,0.00644,6,4
0.24048,0.32645,0.27939,0.28674,0.00337,0.00151,0.98455,0.00127,0.00201,0.00223,0.00291,0.00127,0.00087,0.00000,2,0
0.29972,0.06706,0.52567,0.30866,0.02060,0.00738,0.02434,0.33937,0.04647,0.05389,0.12781,0.00132,0.33833,0.04049,3,8
0.54316,0.38178,0.67153,0.28044,0.01405,0.00307,0.00431,0.74331,0.01858,0.03633,0.05433,0.00535,0.03189,0.08877,3,8
0.53218,0.30100,0.58238,0.72760,0.00220,0.00394,0.04808,0.04776,0.00828,0.00810,0.87507,0.00158,0.00243,0.00257,6,3
0.25004,0.32233,0.30953,0.27119,0.00413,0.00122,0.98551,0.00143,0.00163,0.00167,0.00244,0.00128,0.00069,0.00000,2,2
0.98580,0.54252,0.22606,0.42175,0.00315,0.00331,0.00000,0.00132,0.00081,0.00017,0.00160,0.00196,0.00173,0.98594,9,9
0.27932,0.03574,0.17995,0.32749,0.00923,0.01194,0.00584,0.00651,0.01789,0.00817,0.02259,0.00013,0.89631,0.02139,8,8
0.57742,0.25015,0.49922,0.96493,0.00024,0.00153,0.00334,0.00367,0.00210,0.00089,0.98539,0.00018,0.00052,0.00213,6,3
0.57743,0.24300,0.48669,0.98196,0.00022,0.00157,0.00322,0.00291,0.00186,0.00074,0.98691,0.00016,0.00047,0.00192,6,6
0.48990,0.47737,0.84031,0.15108,0.00170,0.00036,0.00484,0.91412,0.00454,0.05593,0.00867,0.00310,0.00334,0.00341,3,9
0.12834,0.02033,0.32798,0.02884,0.95706,0.00140,0.00953,0.00893,0.00222,0.00006,0.00044,0.00195,0.01420,0.00421,0,8
0.00343,0.37781,0.00147,0.24236,0.00046,0.00001,0.00172,0.00131,0.98853,0.00171,0.00130,0.00230,0.00175,0.00091,4,7
0.53857,0.47565,0.93913,0.12002,0.00169,0.00005,0.00181,0.97729,0.00226,0.00972,0.00338,0.00134,0.00093,0.00154,3,5
0.58869,0.25089,0.50511,0.98673,0.00020,0.00134,0.00282,0.00305,0.00167,0.00068,0.98785,0.00014,0.00042,0.00184,6,6
0.23826,0.35208,0.25845,0.21486,0.00208,0.00565,0.89924,0.00616,0.01102,0.05848,0.00579,0.00772,0.00380,0.00004,2,2
0.52379,0.36261,0.68981,0.37892,0.00935,0.00073,0.01462,0.74960,0.04952,0.02226,0.12206,0.00773,0.00647,0.01766,3,6
0.52856,0.31313,0.69783,0.67156,0.00380,0.00212,0.04135,0.15254,0.00819,0.00742,0.77714,0.00173,0.00234,0.00337,6,3
0.23215,0.36659,0.26408,0.17749,0.00421,0.02347,0.54100,0.01866,0.02059,0.24081,0.00676,0.14130,0.00270,0.00050,2,7
0.27445,0.32215,0.34141,0.48235,0.00477,0.00433,0.93186,0.00420,0.00484,0.00431,0.04194,0.00189,0.00183,0.00004,2,0
0.58621,0.47546,0.96880,0.09349,0.00235,0.00004,0.00143,0.98446,0.00145,0.00496,0.00222,0.00105,0.00073,0.00131,3,5
0.54677,0.39624,0.71967,0.20851,0.05282,0.00097,0.00773,0.85053,0.01347,0.00694,0.02054,0.00875,0.00862,0.02965,3,3
0.51478,0.38329,0.87255,0.35453,0.00313,0.00027,0.00493,0.91447,0.00558,0.01203,0.04997,0.00203,0.00195,0.00564,3,3
0.30100,0.06932,0.59662,0.09358,0.02126,0.00182,0.01412,0.60577,0.03492,0.05179,0.01662,0.00139,0.23276,0.01955,3,8
0.56036,0.44560,0.95461,0.18176,0.00227,0.00006,0.00203,0.97805,0.00202,0.00598,0.00588,0.00111,0.00086,0.00174,3,5
0.48168,0.40059,0.87259,0.19080,0.00700,0.00023,0.02393,0.93303,0.00438,0.01260,0.01296,0.00323,0.00166,0.00097,3,3
0.97891,0.55595,0.22780,0.42364,0.00286,0.00299,0.00000,0.00122,0.00074,0.00015,0.00147,0.00178,0.00157,0.98721,9,9
0.50906,0.30894,0.52474,0.57557,0.01068,0.00508,0.35710,0.07617,0.02455,0.01318,0.50158,0.00383,0.00657,0.00126,6,2
0.11868,0.63041,0.15721,0.13244,0.00303,0.00230,0.00385,0.00176,0.00489,0.00436,0.00019,0.97737,0.00002,0.00223,7,7
0.55941,0.36208,0.53183,0.55076,0.01502,0.00993,0.00122,0.14266,0.01439,0.00713,0.22420,0.00857,0.01125,0.56562,9,9
0.25825,0.02915,0.04692,0.11531,0.00937,0.00201,0.01080,0.00536,0.16456,0.01258,0.00383,0.00039,0.78386,0.00723,8,0
0.50146,0.48553,0.90470,0.08931,0.00116,0.00010,0.00199,0.95868,0.00258,0.02705,0.00298,0.00226,0.00123,0.00197,3,3
0.51771,0.34230,0.75922,0.55041,0.00588,0.00162,0.01536,0.51135,0.01192,0.01339,0.41981,0.00305,0.00413,0.01349,3,0
0.48041,0.36956,0.75590,0.38802,0.00753,0.00193,0.12200,0.64867,0.01279,0.04186,0.15279,0.00573,0.00478,0.00192,3,5
0.11841,0.36106,0.28527,0.44870,0.03661,0.00279,0.09964,0.06217,0.49024,0.01137,0.22694,0.00856,0.04599,0.01567,4,2
0.02837,0.38085,0.02083,0.26133,0.00072,0.00002,0.00212,0.00187,0.98447,0.00201,0.00206,0.00265,0.00261,0.00148,4,7
0.13587,0.62632,0.19276,0.09759,0.00090,0.00933,0.01024,0.00733,0.01197,0.15789,0.00062,0.79787,0.00023,0.00363,7,7
0.54689,0.48888,0.95999,0.08733,0.00163,0.00004,0.00159,0.98127,0.00160,0.00844,0.00231,0.00106,0.00086,0.00119,3,5
1.00000,0.52990,0.19009,0.37607,0.00779,0.00731,0.00003,0.00259,0.00242,0.00053,0.00305,0.00243,0.00932,0.96453,9,9
