xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0.11793,0.02321,0.30054,0.02114,0.98602,0.00074,0.00385,0.00242,0.00054,0.00001,0.00011,0.00150,0.00287,0.00194,0,0
0.97319,0.55316,0.22907,0.43071,0.00278,0.00307,0.00000,0.00119,0.00070,0.00015,0.00152,0.00171,0.00155,0.98730,9,9
0.41448,0.39030,0.59424,0.19342,0.00829,0.00781,0.32110,0.34159,0.01772,0.23709,0.03291,0.01851,0.01365,0.00132,3,2
0.57937,0.47616,0.96851,0.09995,0.00219,0.00004,0.00131,0.98421,0.00148,0.00521,0.00233,0.00106,0.00073,0.00145,3,3
0.19891,0.34378,0.22847,0.28614,0.01717,0.00191,0.86659,0.00881,0.06793,0.00752,0.01517,0.00950,0.00527,0.00015,2,2
0.57585,0.24849,0.49741,0.96997,0.00024,0.00162,0.00343,0.00339,0.00190,0.00081,0.98592,0.00018,0.00050,0.00202,6,6
0.22350,0.32768,0.24050,0.23305,0.00997,0.00398,0.95730,0.00300,0.00592,0.00537,0.00495,0.00149,0.00800,0.00003,2,8
0.24473,0.33246,0.28117,0.26537,0.00311,0.00167,0.98382,0.00140,0.00201,0.00297,0.00253,0.00167,0.00082,0.00000,2,2
0.11294,0.64206,0.14669,0.11806,0.00187,0.00142,0.00139,0.00107,0.00288,0.00251,0.00009,0.98651,0.00001,0.00225,7,7
0.37044,0.46744,0.52129,0.08865,0.00019,0.00343,0.03771,0.05971,0.00516,0.87865,0.00310,0.00661,0.00511,0.00034,5,2
0.45056,0.98644,0.06146,0.49179,0.00097,0.98179,0.00195,0.00006,0.00002,0.00320,0.00254,0.00189,0.00269,0.00489,1,1
0.97969,0.54196,0.22782,0.42151,0.00313,0.00334,0.00000,0.00135,0.00083,0.00018,0.00162,0.00201,0.00172,0.98581,9,9
0.11397,0.35558,0.10417,0.23702,0.01877,0.00063,0.18472,0.01092,0.73462,0.00805,0.01301,0.01140,0.01681,0.00107,4,4
0.01242,0.38405,0.00328,0.24694,0.00048,0.00001,0.00177,0.00135,0.98813,0.00175,0.00141,0.00220,0.00194,0.00096,4,4
0.27498,0.00000,0.08910,0.03742,0.00259,0.00203,0.00073,0.00057,0.00179,0.00156,0.00026,0.00001,0.98850,0.00197,8,8
