xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0.11803,0.02247,0.30265,0.02841,0.98409,0.00087,0.00441,0.00276,0.00063,0.00001,0.00014,0.00177,0.00314,0.00219,0,0
0.97933,0.55706,0.22675,0.42875,0.00277,0.00307,0.00000,0.00115,0.00068,0.00015,0.00145,0.00174,0.00149,0.98750,9,9
0.40257,0.38850,0.48170,0.20211,0.00394,0.00908,0.65734,0.07394,0.01214,0.20263,0.01747,0.01612,0.00707,0.00026,2,2
0.57672,0.47094,0.95675,0.10508,0.00251,0.00004,0.00145,0.98254,0.00166,0.00550,0.00261,0.00117,0.00084,0.00166,3,3
0.14766,0.35856,0.40114,0.22117,0.03751,0.00108,0.35435,0.16652,0.33378,0.02655,0.03840,0.02566,0.01411,0.00203,2,2
0.58989,0.24606,0.48775,0.98854,0.00020,0.00153,0.00305,0.00272,0.00170,0.00070,0.98768,0.00015,0.00044,0.00183,6,6
0.27089,0.00908,0.09364,0.04616,0.00312,0.00228,0.00110,0.00076,0.00262,0.00206,0.00036,0.00001,0.98557,0.00212,8,8
0.24460,0.32862,0.28054,0.26828,0.00340,0.00146,0.98540,0.00122,0.00180,0.00218,0.00233,0.00147,0.00072,0.00000,2,2
0.11107,0.63820,0.15309,0.12425,0.00218,0.00174,0.00164,0.00129,0.00329,0.00302,0.00011,0.98402,0.00001,0.00269,7,7
0.24319,0.33430,0.27636,0.26026,0.00299,0.00185,0.98210,0.00153,0.00229,0.00377,0.00265,0.00190,0.00092,0.00001,2,2
0.45135,0.99817,0.04462,0.46994,0.00075,0.98607,0.00166,0.00004,0.00002,0.00277,0.00155,0.00145,0.00237,0.00332,1,1
0.97911,0.54072,0.22883,0.42092,0.00329,0.00352,0.00001,0.00143,0.00087,0.00019,0.00172,0.00214,0.00180,0.98503,9,9
0.03382,0.36525,0.02326,0.23943,0.00103,0.00003,0.00410,0.00204,0.98174,0.00213,0.00204,0.00299,0.00290,0.00100,4,4
0.01853,0.38194,0.00779,0.25053,0.00053,0.00002,0.00192,0.00146,0.98714,0.00188,0.00155,0.00242,0.00203,0.00104,4,4
0.27129,0.00282,0.08823,0.04812,0.00275,0.00266,0.00082,0.00060,0.00179,0.00182,0.00031,0.00001,0.98699,0.00225,8,8
0.35787,0.47544,0.43396,0.05405,0.00001,0.00172,0.00269,0.00736,0.00106,0.98290,0.00037,0.00238,0.00135,0.00016,5,5
0.33820,0.47685,0.21758,0.08412,0.00012,0.00184,0.01347,0.01501,0.07373,0.87015,0.00216,0.01182,0.01048,0.00123,5,5
0.44890,0.99222,0.04255,0.47735,0.00068,0.98633,0.00130,0.00003,0.00001,0.00260,0.00151,0.00138,0.00227,0.00386,1,1
0.49861,0.48607,0.88728,0.07380,0.00105,0.00011,0.00188,0.95009,0.00295,0.03493,0.00280,0.00240,0.00151,0.00228,3,3
0.01718,0.37196,0.01163,0.25344,0.00056,0.00002,0.00203,0.00155,0.98644,0.00196,0.00165,0.00267,0.00202,0.00110,4,4
0.11646,0.02755,0.30079,0.02013,0.98653,0.00072,0.00361,0.00237,0.00052,0.00001,0.00011,0.00159,0.00257,0.00198,0,0
0.00483,0.37478,0.00499,0.24703,0.00048,0.00001,0.00173,0.00136,0.98823,0.00171,0.00137,0.00246,0.00169,0.00096,4,4
0.28232,0.00965,0.09372,0.04188,0.00315,0.00212,0.00079,0.00071,0.00223,0.00168,0.00031,0.00001,0.98656,0.00245,8,8
0.59208,0.24635,0.49229,0.99264,0.00019,0.00141,0.00291,0.00269,0.00166,0.00066,0.98816,0.00014,0.00041,0.00176,6,6
0.11729,0.64392,0.14629,0.11465,0.00166,0.00130,0.00126,0.00098,0.00262,0.00237,0.00007,0.98768,0.00001,0.00205,7,7
0.56595,0.48771,0.97384,0.08878,0.00166,0.00003,0.00112,0.98458,0.00138,0.00616,0.00200,0.00107,0.00064,0.00135,3,3
0.01401,0.37396,0.00989,0.25508,0.00053,0.00001,0.00182,0.00147,0.98738,0.00177,0.00157,0.00250,0.00187,0.00108,4,4
0.11672,0.02679,0.30223,0.02016,0.98650,0.00072,0.00372,0.00236,0.00051,0.00001,0.00011,0.00150,0.00268,0.00190,0,0
0.28669,0.00561,0.09854,0.03446,0.00266,0.00191,0.00073,0.00067,0.00202,0.00168,0.00028,0.00001,0.98793,0.00213,8,8
0.28167,0.00018,0.08896,0.03671,0.00270,0.00188,0.00069,0.00059,0.00191,0.00148,0.00026,0.00001,0.98840,0.00209,8,8
0.57697,0.46903,0.95105,0.10464,0.00272,0.00005,0.00150,0.98192,0.00175,0.00551,0.00268,0.00120,0.00091,0.00176,3,3
0.24470,0.32132,0.28755,0.26994,0.00368,0.00131,0.98652,0.00114,0.00156,0.00169,0.00220,0.00122,0.00069,0.00000,2,2
0.99157,0.54421,0.22279,0.41965,0.00319,0.00327,0.00001,0.00134,0.00087,0.00018,0.00161,0.00206,0.00174,0.98573,9,9
0.27245,0.00327,0.09383,0.03952,0.00303,0.00206,0.00080,0.00070,0.00221,0.00169,0.00030,0.00001,0.98687,0.00232,8,8
0.56556,0.45492,0.96419,0.15231,0.00196,0.00004,0.00149,0.98148,0.00173,0.00581,0.00399,0.00107,0.00075,0.00167,3,3
0.58259,0.23682,0.48634,0.98477,0.00022,0.00156,0.00315,0.00283,0.00181,0.00073,0.98719,0.00016,0.00046,0.00190,6,6
0.99035,0.52965,0.24275,0.38280,0.00492,0.00504,0.00002,0.00371,0.00255,0.00069,0.00338,0.00310,0.00541,0.97116,9,9
0.27194,0.00515,0.09357,0.03789,0.00290,0.00189,0.00080,0.00068,0.00227,0.00165,0.00029,0.00001,0.98737,0.00215,8,8
0.12067,0.64368,0.14719,0.11747,0.00173,0.00142,0.00137,0.00104,0.00278,0.00260,0.00008,0.98682,0.00001,0.00215,7,7
0.35655,0.47561,0.41323,0.05423,0.00001,0.00183,0.00279,0.00641,0.00114,0.98347,0.00036,0.00236,0.00147,0.00016,5,5
0.57420,0.24149,0.48353,0.97466,0.00024,0.00166,0.00346,0.00309,0.00202,0.00080,0.98601,0.00018,0.00051,0.00203,6,6
0.24435,0.32829,0.28462,0.28019,0.00457,0.00172,0.98214,0.00150,0.00220,0.00221,0.00302,0.00174,0.00089,0.00001,2,2
0.59310,0.24608,0.49184,0.99509,0.00019,0.00142,0.00281,0.00264,0.00163,0.00065,0.98831,0.00014,0.00041,0.00179,6,6
0.58868,0.44774,0.95211,0.13576,0.00286,0.00006,0.00330,0.97797,0.00190,0.00652,0.00414,0.00132,0.00086,0.00109,3,3
0.11112,0.63758,0.15240,0.12381,0.00215,0.00170,0.00162,0.00129,0.00334,0.00300,0.00011,0.98411,0.00001,0.00267,7,7
0.11587,0.02673,0.30250,0.02167,0.98642,0.00073,0.00376,0.00237,0.00051,0.00001,0.00011,0.00157,0.00259,0.00192,0,0
0.48617,0.36324,0.70699,0.40473,0.00200,0.00490,0.04236,0.54148,0.01412,0.19795,0.17526,0.00804,0.00758,0.00629,3,5
0.57421,0.47766,0.96948,0.10503,0.00198,0.00004,0.00124,0.98398,0.00149,0.00559,0.00240,0.00109,0.00070,0.00150,3,3
0.57973,0.47364,0.96941,0.10977,0.00213,0.00004,0.00127,0.98401,0.00150,0.00522,0.00252,0.00106,0.00072,0.00153,3,3
0.27808,0.00964,0.09509,0.04108,0.00318,0.00214,0.00083,0.00073,0.00227,0.00173,0.00032,0.00001,0.98639,0.00241,8,8
0.35405,0.47612,0.37236,0.06334,0.00001,0.00259,0.00333,0.00512,0.00127,0.98263,0.00039,0.00272,0.00176,0.00018,5,5
0.57600,0.48468,0.98599,0.11495,0.00150,0.00003,0.00113,0.98532,0.00132,0.00556,0.00241,0.00094,0.00057,0.00124,3,3
0.98343,0.54036,0.22719,0.41897,0.00337,0.00352,0.00001,0.00145,0.00091,0.00020,0.00173,0.00217,0.00186,0.98479,9,9
0.19692,0.34068,0.19694,0.18824,0.11177,0.00240,0.78323,0.01009,0.06001,0.00249,0.00752,0.00891,0.01326,0.00031,2,2
0.11121,0.63724,0.15322,0.12373,0.00220,0.00171,0.00164,0.00131,0.00337,0.00300,0.00011,0.98395,0.00001,0.00270,7,7
0.97529,0.54301,0.22995,0.42516,0.00311,0.00338,0.00001,0.00136,0.00082,0.00018,0.00168,0.00197,0.00174,0.98575,9,9
0.11866,0.02826,0.30447,0.02136,0.98572,0.00075,0.00344,0.00260,0.00056,0.00001,0.00012,0.00159,0.00291,0.00231,0,0
0.56519,0.47406,0.95018,0.10204,0.00237,0.00005,0.00143,0.98151,0.00175,0.00635,0.00260,0.00131,0.00086,0.00178,3,3
0.11959,0.02881,0.29372,0.03182,0.98374,0.00096,0.00322,0.00280,0.00064,0.00001,0.00014,0.00193,0.00327,0.00328,0,0
0.35461,0.47606,0.38393,0.06090,0.00001,0.00233,0.00316,0.00526,0.00119,0.98328,0.00037,0.00266,0.00156,0.00017,5,5
0.23683,0.33846,0.27778,0.27344,0.00576,0.00333,0.96107,0.00358,0.00630,0.00760,0.00603,0.00413,0.00217,0.00003,2,2
0.11210,0.64075,0.15102,0.12153,0.00207,0.00161,0.00154,0.00120,0.00310,0.00278,0.00010,0.98508,0.00001,0.00250,7,7
0.12149,0.64325,0.14818,0.11965,0.00182,0.00151,0.00143,0.00109,0.00288,0.00270,0.00009,0.98619,0.00001,0.00228,7,7
0.35380,0.47642,0.37406,0.05951,0.00001,0.00239,0.00307,0.00449,0.00105,0.98461,0.00034,0.00237,0.00153,0.00015,5,5
0.98905,0.55504,0.22325,0.42301,0.00295,0.00311,0.00000,0.00122,0.00076,0.00016,0.00148,0.00185,0.00160,0.98687,9,9
0.54661,0.29312,0.64532,0.82323,0.00069,0.00128,0.00703,0.03399,0.00399,0.00282,0.94517,0.00048,0.00100,0.00354,6,6
0.45465,0.99900,0.04158,0.47005,0.00069,0.98643,0.00140,0.00004,0.00001,0.00269,0.00146,0.00136,0.00236,0.00355,1,1
0.00900,0.36505,0.01039,0.24095,0.00065,0.00002,0.00232,0.00160,0.98553,0.00196,0.00148,0.00374,0.00162,0.00107,4,4
0.27258,0.00274,0.09369,0.03834,0.00291,0.00205,0.00079,0.00068,0.00215,0.00170,0.00030,0.00001,0.98720,0.00223,8,8
0.45857,0.99960,0.04105,0.47124,0.00068,0.98663,0.00139,0.00003,0.00001,0.00264,0.00144,0.00133,0.00233,0.00350,1,1
0.12527,0.63931,0.15409,0.12594,0.00217,0.00187,0.00171,0.00129,0.00321,0.00316,0.00011,0.98379,0.00001,0.00268,7,7
0.97580,0.55364,0.22637,0.42521,0.00290,0.00311,0.00000,0.00123,0.00075,0.00016,0.00151,0.00181,0.00160,0.98694,9,9
0.55108,0.49284,0.97738,0.08806,0.00134,0.00003,0.00141,0.98303,0.00136,0.00804,0.00208,0.00107,0.00063,0.00102,3,5
0.27631,0.00957,0.09724,0.04166,0.00330,0.00219,0.00085,0.00075,0.00229,0.00174,0.00032,0.00001,0.98608,0.00246,8,8
0.98070,0.54158,0.22637,0.42355,0.00310,0.00343,0.00000,0.00133,0.00082,0.00018,0.00165,0.00199,0.00174,0.98576,9,9
0.01721,0.37395,0.01032,0.25322,0.00056,0.00002,0.00197,0.00153,0.98663,0.00192,0.00163,0.00261,0.00203,0.00112,4,4
0.11552,0.02711,0.30215,0.02413,0.98561,0.00078,0.00383,0.00255,0.00056,0.00001,0.00012,0.00180,0.00260,0.00214,0,0
0.22596,0.01998,0.12419,0.12855,0.06961,0.07600,0.01994,0.00340,0.00351,0.00559,0.00305,0.00057,0.80643,0.01191,8,0
0.59363,0.23941,0.49034,1.00000,0.00018,0.00137,0.00280,0.00248,0.00155,0.00062,0.98882,0.00013,0.00039,0.00165,6,6
0.24345,0.32111,0.28327,0.27378,0.00398,0.00133,0.98601,0.00114,0.00165,0.00161,0.00229,0.00130,0.00069,0.00000,2,2
0.57696,0.23810,0.48377,0.97920,0.00023,0.00161,0.00335,0.00296,0.00193,0.00077,0.98654,0.00017,0.00049,0.00195,6,6
0.02653,0.37697,0.02014,0.25937,0.00067,0.00002,0.00232,0.00181,0.98437,0.00220,0.00199,0.00293,0.00237,0.00131,4,4
0.58290,0.23699,0.48656,0.98400,0.00022,0.00153,0.00315,0.00286,0.00184,0.00073,0.98714,0.00016,0.00046,0.00191,6,6
